#url-source-assignments format=1 generator=Gates.UrlCensusInput input-sha256=a5aa827f544f9077912dc1553cfd9025b6afa4e996460074b5f67d83e0f3c805 candidates=1473
#ordinal	kind	byte-start	byte-end	span-sha256	label	section	owner	reason
#input spans-sha256=444f54d5563bb8f21d04866cfc4e9dcc4ef7e1ccb380afb6f414f1b6153c23e2
#input explanations-sha256=6cd87e7a3e9e246692fc36cc52f41ed5834a45d5f66b569442c30c0cf87b7466
#input dispositions-sha256=766a539e43db1909506a938bdcb156111535a8189c542e2529885f31b6224a90
#input overrides-sha256=c2ce025fde1d98c03c28f6818269e8ab21d5e13e43a4aa4ec8e3a3339182e81c
#input dependencies-sha256=2fb67b7f4e4cab820b69a8b5125929e75b882c9e061f5323eff40cff0d5350b8
#input externals-sha256=492ba571becb2eadd939d74ff28c6689bcc0d09b1e6e661025d7f4621955a6ad
749	prose	86957	86995	ae2996f3ef3feae0566391f7abe5355cc0f2eb09368e3f1e2979733dce5bdbdb	If url is not given:	url-parsing	op.basic-url-parser	
750	list	86995	87300	1a34871d7fac8c71cc4119260cc8f6e63e339ad1a8543815015fb7f6b01bd9d8	ol	url-parsing	op.basic-url-parser	
751	prose	87007	87060	575b0c343095ae5324a4c68cfecd67efc9321df9025db314732d0ef23b38695e	Set url to a new URL.	url-parsing	op.basic-url-parser	
752	prose	87064	87204	102364a5cce1a4fffee4442b33bf8b7746e1eb20b8780e23e0e4e9bc90260223	If input contains any leading or trailing C0 control or space, invalid-URL-unit validation error.	url-parsing	op.basic-url-parser	
753	prose	87208	87295	d660e43632a272dab350e2ac7ed34dae1cb5856bbafeb4554c6868251ea2e7a4	Remove any leading and trailing C0 control or space from input.	url-parsing	op.basic-url-parser	
754	prose	87307	87424	88451eaf251967362322de5ddff3657c2d9f8fda1b8ecec978c9fd9d55bbd75f	If input contains any ASCII tab or newline, invalid-URL-unit validation error.	url-parsing	op.basic-url-parser	
755	prose	87428	87495	b10738f2064b29911428f17df619988d642eba3b26e92067423fa0038cc56c9c	Remove all ASCII tab or newline from input.	url-parsing	op.basic-url-parser	
756	prose	87499	87605	ee61aa4da1b5d30d412ff9d094b0a3048c3ec6e651bbd18b54e383886a74c260	Let state be state override if given, or scheme start state otherwise.	url-parsing	op.basic-url-parser	
757	prose	87609	87716	5e24fc5188e0198798428c0ebb0f3f9e93eaccb727060cbd62306d80bf379df0	Set encoding to the result of getting an output encoding from encoding.	url-parsing	op.basic-url-parser	
758	prose	87720	87768	18559bbac2ce94a9eff9ed271ee9c8b65fcd3d15a2e751417f9e48eff55e9656	Let buffer be the empty string.	url-parsing	op.basic-url-parser	
759	prose	87772	87875	7e81b1783de4bf32eda27c56e369541b1077a7fe448c4d6d741a81fe6b099761	Let atSignSeen, insideBrackets, and passwordTokenSeen be false.	url-parsing	op.basic-url-parser	
760	prose	87879	87949	8a4a1206635c834d6dd3e2f30b285fcd1cb674104cb8ed563171131ce57ddefc	Let pointer be a pointer for input.	url-parsing	op.basic-url-parser	
761	prose	87956	88214	4219232007abd8a49a119664d080d8702161dc86f1b42e93563ec677a7d0de4d	Keep running the following state machine by switching on state. If after a run pointer points to the EOF code point, go to the next step. Otherwise, increase pointer by 1 and continue with the state machine.	url-parsing	op.basic-url-parser	
762	list	88214	118967	1bda16b4bd45eca05f7761c7696e8d78c9103a5eb783e16178048df9641631d9	dl	url-parsing	op.basic-url-parser	
763	definition	88239	88320	55de9f5a34d94894e7ca430c8d2b1f39c7a3268da88c94a92ef18032a54bf8b3	scheme-start-state	url-parsing	op.parser-scheme-start	
764	list	88333	88908	3bcdcda187a7962ab0fc06e68453ec951d80e886f6db6b84e89fe60b7dabf94a	ol	url-parsing	op.parser-scheme-start	
765	prose	88347	88532	734d696bdeb7a24e51b5ffd6e720261f28ae30519c5db9d696a522bb27efaeff	If c is an ASCII alpha, append c, lowercased, to buffer, and set state to scheme state.	url-parsing	op.parser-scheme-start	
766	prose	88536	88689	c3f6de2ca9674299e2a74b1a4da1b4915b5ca688530e7749600294e040936432	Otherwise, if state override is not given, set state to no scheme state and decrease pointer by 1.	url-parsing	op.parser-scheme-start	
767	prose	88700	88773	f83b41b3b7db1a891eb05a4843302ff41167f48a9714f5b482a255ec934663b2	Otherwise, return failure.	url-parsing	op.parser-scheme-start	
768	prose	88773	88903	369006c16aae8b3ccba3156d65c3a8e079d63684f305d99edfc27bd393de5a86	This indication of failure is used exclusively by the {{Location}} object's {{Location/protocol}} setter.	url-parsing	op.parser-scheme-start	
769	definition	88917	88986	bd7163f3affc854a9dcdfcdfcc933c934f900d05f65914668da908d48eb6f77c	scheme-state	url-parsing	op.parser-scheme	
770	list	88999	92297	f18de6194b0c39866b5d4ac47d3267019135a04dfae0a17393cebd0f5d8bb021	ol	url-parsing	op.parser-scheme	
771	prose	89013	89190	ecc993f7b3d3b181773f291d855142f386ec5a4590fa560b05a8f0ecdf7b3a62	If c is an ASCII alphanumeric, U+002B (+), U+002D (-), or U+002E (.), append c, lowercased, to buffer.	url-parsing	op.parser-scheme	
772	prose	89201	89255	67e904643f4d78bf90a356d7094a4745d4ae107bd45b06197684a62110cfc7a4	Otherwise, if c is U+003A (:), then:	url-parsing	op.parser-scheme	
773	list	89255	91714	f5ab4558c853a4ea796befcd0f7a8beebccc01476c8e879d704cf42d4186cb43	ol	url-parsing	op.parser-scheme	
774	prose	89280	89337	98f934a7b686bcef16bf688105c25a324040c947fa7fac26c85df37a5907e925	If state override is given, then:	url-parsing	op.parser-scheme	
775	list	89337	90005	185359c9f458732888008500bdef9bac29ff83c0c92640321d1e9cb6464a85f0	ol	url-parsing	op.parser-scheme	
776	prose	89355	89513	cbb2a529b6b14cce0f8ddb75a52df0dfe64a109e6c476878b02bae21a8fa0249	If url's scheme is a special scheme and buffer is not a special scheme, then return.	url-parsing	op.parser-scheme	
777	prose	89517	89675	8c0737fcea043827233417f53696f9dfa7a287d766bc815256c6b1d628d95d48	If url's scheme is not a special scheme and buffer is a special scheme, then return.	url-parsing	op.parser-scheme	
778	prose	89679	89845	12f9b7ef08764c8278132322f962cca47698c7f2c83838c5aea623ec17424584	If url includes credentials or has a non-null port, and buffer is "file", then return.	url-parsing	op.parser-scheme	
779	prose	89849	90000	f325672735693718d75a88ada59529d350b379fe435cbdb5baadc17899b46aa2	If url's scheme is "file" and its host is an empty host, then return.	url-parsing	op.parser-scheme	
780	prose	90018	90094	f23f1810adf9e320f1e1a410d226726769c0742b3afa20b92a977a573bbba0ef	Set url's scheme to buffer.	url-parsing	op.parser-scheme	
781	prose	90108	90166	a6940b69cabd82346e04afccb97d14921428ab98a6caff1d1e8cfaf34eaee3ca	If state override is given, then:	url-parsing	op.parser-scheme	
782	list	90166	90398	8defeba0b8cc203dc043ec74f4bc814257af3ea9df8d802cc267aaa1e2df7648	ol	url-parsing	op.parser-scheme	
783	prose	90185	90369	b42477876b2fc71cd7f443bd2c1e792a578bd0ce1cfbdf64104f6f2ebaf48ffb	If url's port is url's scheme's default port, then set url's port to null.	url-parsing	op.parser-scheme	
784	prose	90373	90393	ee4a439178fffbd5c1df658277060eae947aa415240f50f933ac3b3fa1de7fd2	Return.	url-parsing	op.parser-scheme	
785	prose	90411	90465	a06378cc5b093fe3e292c5a5d33696a85514ee0bee6dad12a4e6adcf7393821e	Set buffer to the empty string.	url-parsing	op.parser-scheme	
786	prose	90478	90562	573b6d25cb8240bcfeae8c426a7b510a31c07766db8a361826336d1b8673f041	If url's scheme is "file", then:	url-parsing	op.parser-scheme	
787	list	90562	90797	6ae291e3d84e3c832577140bf878a670e0f932b5eb06434781116f9976d7afd1	ol	url-parsing	op.parser-scheme	
788	prose	90580	90734	720a70a187af08def4a3ad0d30808e270b499b4acbd713fdb94715f0fb937c20	If remaining does not start with "//", special-scheme-missing-following-solidus validation error.	url-parsing	op.parser-scheme	
789	prose	90738	90792	222e9e4db2406a70434e9b1facd863333629056c06959b5432cec4da6b755652	Set state to file state.	url-parsing	op.parser-scheme	
790	prose	90819	91003	61960c1679e1499ccc0b98ed821ae6e87dd287d9d2c9cba67a39defea1aceebe	Otherwise, if url is special, base is non-null, and base's scheme is url's scheme:	url-parsing	op.parser-scheme	
791	list	91003	91247	9a88b0a9bcaa6c00f551b46e8bd379067cb25dbc2fe9ee1eb709946794b2b4f2	ol	url-parsing	op.parser-scheme	
792	prose	91021	91159	0a7671f8acebbf3d8b37a7802806bb4cb69be2e7be6d96fa4d9577b811d50a6a	Assert: base is special (and therefore does not have an opaque path).	url-parsing	op.parser-scheme	
793	prose	91163	91242	fe0979faf808843f33ebb7429b21ad9c010bd200b28b8114f2e7779290d8a540	Set state to special relative or authority state.	url-parsing	op.parser-scheme	
794	prose	91260	91390	8dd936a7fecaac0f226c501e233a4910f59728fa1c515f5d119e3f61e920568b	Otherwise, if url is special, set state to special authority slashes state.	url-parsing	op.parser-scheme	
795	prose	91394	91563	63a0111e43b51310b6b66b830fc99e6d5ed9e0d17fcfb4a47249947260b476d6	Otherwise, if remaining starts with an U+002F (/), set state to path or authority state and increase pointer by 1.	url-parsing	op.parser-scheme	
796	prose	91567	91709	c1c2cc1e8be9dd57556884dd281b8572e371018be4f6239bcd54b3ef320ebd3c	Otherwise, set url's path to the empty string and set state to opaque path state.	url-parsing	op.parser-scheme	
797	prose	91725	91954	b1422adae9ccca8386b690ce3108d2edee2c3c99ec1af9c61a918d47b7198f41	Otherwise, if state override is not given, set buffer to the empty string, state to no scheme state, and start over (from the first code point in input).	url-parsing	op.parser-scheme	
798	prose	91965	92038	f83b41b3b7db1a891eb05a4843302ff41167f48a9714f5b482a255ec934663b2	Otherwise, return failure.	url-parsing	op.parser-scheme	
799	prose	92038	92292	906603f21971a03b6197aaad0c635b6712682552ec13286db2804e930d26789e	This indication of failure is used exclusively by the {{Location}} object's {{Location/protocol}} setter. Furthermore, the non-failure termination earlier in this state is an intentional difference for defining that setter.	url-parsing	op.parser-scheme	
800	definition	92306	92381	23fc932510583f2fc81943c375a0a334e5423789302db365d649951fec8e7a92	no-scheme-state	url-parsing	op.parser-no-scheme	
801	list	92394	93421	e019fee5d75437681d4593127ed9034005363e95cbda25b309c701b1e399cfa5	ol	url-parsing	op.parser-no-scheme	
802	prose	92408	92620	c03be8c84ea82ec9db5ef75ac26dc3122aa857a4845c82aa0bd6312fed982f68	If base is null, or base has an opaque path and c is not U+0023 (#), missing-scheme-non-relative-URL validation error, return failure.	url-parsing	op.parser-no-scheme	
803	prose	92624	93125	2bcdc6deadf8cc37a452ac64c064c88874e60da0dc1936d941d9531be79f2ec4	Otherwise, if base has an opaque path and c is U+0023 (#), set url's scheme to base's scheme, url's path to base's path, url's query to base's query, url's fragment to the empty string, and set state to fragment state.	url-parsing	op.parser-no-scheme	
804	prose	93129	93309	8a3b47288850b5c8734fd981c38e16fa2aecc3863db65c6527cf961bbd354973	Otherwise, if base's scheme is not "file", set state to relative state and decrease pointer by 1.	url-parsing	op.parser-no-scheme	
805	prose	93313	93416	f24cc4872e53394d0d7ab59a8b0d25efef14bca3965445491f9be643adc8b959	Otherwise, set state to file state and decrease pointer by 1.	url-parsing	op.parser-no-scheme	
806	definition	93430	93545	bfaef85faec36977228647f0ad241fab015735a10272e6e4b485c42857ec8c4f	special-relative-or-authority-state	url-parsing	op.parser-special-relative-or-authority	
807	list	93558	93964	67f107e7f456f5ddf26cfe0661ba0c4c2392006fcb14c04e21da3c05815e62a8	ol	url-parsing	op.parser-special-relative-or-authority	
808	prose	93572	93775	ff63224d599392dc9c7e4625058556524cc7e80bfd6e1bee7de962a2200a5983	If c is U+002F (/) and remaining starts with U+002F (/), then set state to special authority ignore slashes state and increase pointer by 1.	url-parsing	op.parser-special-relative-or-authority	
809	prose	93779	93959	725157768f5451837ade8683cf3d5f9e6d5df3e0c5802b7a32777a1309078083	Otherwise, special-scheme-missing-following-solidus validation error, set state to relative state and decrease pointer by 1.	url-parsing	op.parser-special-relative-or-authority	
810	definition	93973	94064	6e935d070d51575de4d69577d00a24397ffa272849a3c145b83c3954cf41fcb9	path-or-authority-state	url-parsing	op.parser-path-or-authority	
811	list	94077	94293	476076a7b6a6acbf5464a7ebd1d33b83b004eca6c5ad8d8d57922e3d9f78dca8	ol	url-parsing	op.parser-path-or-authority	
812	prose	94091	94180	aa66f09b22d82bb774255cd03632232ce72a31f52fbe944a982761957be632b2	If c is U+002F (/), then set state to authority state.	url-parsing	op.parser-path-or-authority	
813	prose	94184	94288	6d1d381fce7ccc1769dfbeea7830bc28310616f10749273c5ae89e020c27b199	Otherwise, set state to path state, and decrease pointer by 1.	url-parsing	op.parser-path-or-authority	
814	definition	94302	94375	0c88f5b344099ebdae178cb5a8dd5d08b322c631aef3dc3deefb421bb8076d15	relative-state	url-parsing	op.parser-relative	
815	list	94388	96244	fa21aa4ad1888a1e1327546b8ea04e9e04a483fbc7e8e9e5f505ecf1e07f71df	ol	url-parsing	op.parser-relative	
816	prose	94402	94487	866f4b54b04da28ed9b8149f7a8e8ba4147881a956ae6f99c701cf46961b810f	Assert: base's scheme is not "file".	url-parsing	op.parser-relative	
817	prose	94491	94587	f9bf525263f8b03585872a5576a2ebe6c83c7f1bf71e5aeb76647148d47f9d3e	Set url's scheme to base's scheme.	url-parsing	op.parser-relative	
818	prose	94591	94685	c978a073558cbe82e1851ed6ec114d3146f1b6cbeb816a5151650d8044c170ad	If c is U+002F (/), then set state to relative slash state.	url-parsing	op.parser-relative	
819	prose	94689	94892	70e5431167385b8beb1edfc24ef8b9add49260b4c72c3b1a690767bd34191d62	Otherwise, if url is special and c is U+005C (\\), invalid-reverse-solidus validation error, set state to relative slash state.	url-parsing	op.parser-relative	
820	prose	94903	94924	5cbc6ae1bf6fbe7d9ab7e4e9243d915299fc6a144f65aa6b8579a6afe3a19353	Otherwise:	url-parsing	op.parser-relative	
821	list	94924	96234	45c41894bac168aec536863aa9d76faffb523fbf48aaec06c3657973a66c975c	ol	url-parsing	op.parser-relative	
822	prose	94940	95555	13363c4434b9f76dc9c0f75c03c432779a401692e169484921b04ac452f0f590	Set url's username to base's username, url's password to base's password, url's host to base's host, url's port to base's port, url's path to a clone of base's path, and url's query to base's query.	url-parsing	op.parser-relative	
823	prose	95559	95716	e9151bfb8625854db44e7fe0b48c0524d14b8b43bc51194ecf384d9ade6de4ec	If c is U+003F (?), then set url's query to the empty string, and state to query state.	url-parsing	op.parser-relative	
824	prose	95720	95888	b7fe798897bd5aa78b5f8b67e559d38a7e4f78ea3895febdebb19007733fe1d2	Otherwise, if c is U+0023 (#), set url's fragment to the empty string and state to fragment state.	url-parsing	op.parser-relative	
825	prose	95901	95970	6dd4b8d283100245636f737249c1088a966391fa29aba194808b1b9633028af5	Otherwise, if c is not the EOF code point:	url-parsing	op.parser-relative	
826	list	95970	96222	4d15e2c618ffafe7ca93e7b8765223e3293522e9b463edd16d08fa8fb724282e	ol	url-parsing	op.parser-relative	
827	prose	95988	96052	14ff7a66da2b513eab5d4ca7f54719e5d6c5f4b63601d35ba170f5ce5f64d6a2	Set url's query to null.	url-parsing	op.parser-relative	
828	prose	96056	96122	5dd9ab1cf2ed8195247c0834523f6def93342d3f1046c4f5a3c8af949737df0f	Shorten url's path.	url-parsing	op.parser-relative	
829	prose	96126	96217	2c5ced14c9f1cd40037fa12d768bdff7c34860a8813039aee9b3eaf7ef1f4740	Set state to path state and decrease pointer by 1.	url-parsing	op.parser-relative	
830	definition	96253	96338	0cfc86e85cad508b8d4c0ec790ef776c8113da18086d3bb8ca972466ab42a75e	relative-slash-state	url-parsing	op.parser-relative-slash	
831	list	96351	97279	6ef10d1a43db1e28a7c8908230842ca869a65dfa1da0bef0baa04bcb98bc71d2	ol	url-parsing	op.parser-relative-slash	
832	prose	96372	96466	68bd842f940ad491db3db8181432c3140ce63b25532f94d5d38b2f76c9583e40	If url is special and c is U+002F (/) or U+005C (\\), then:	url-parsing	op.parser-relative-slash	
833	list	96466	96672	502385d5da466b69544e7659a7c09c27fb0da5ad115968741d4522e13ab0fe2e	ol	url-parsing	op.parser-relative-slash	
834	prose	96482	96583	3bef8f1e37ca26e95afc49113359333f63f0e3d3457b155b5b76c02c392a0a43	If c is U+005C (\\), invalid-reverse-solidus validation error.	url-parsing	op.parser-relative-slash	
835	prose	96587	96667	5c2dae5794fc537f7307b6ca2e458855727e164fae19b1b4f9c607f4ff044781	Set state to special authority ignore slashes state.	url-parsing	op.parser-relative-slash	
836	prose	96683	96788	696a9d94c19767db2e4a50d62650d2bd1f3c35f9f71688fdf60add5e32857585	Otherwise, if c is U+002F (/), then set state to authority state.	url-parsing	op.parser-relative-slash	
837	prose	96792	97274	5602e80e38ca7e2df354f3697cb52eb315ef1e930892c83e1fc1f04cad083132	Otherwise, set url's username to base's username, url's password to base's password, url's host to base's host, url's port to base's port, state to path state, and then, decrease pointer by 1.	url-parsing	op.parser-relative-slash	
838	definition	97288	97395	9d74706a9463550ad92ceb8b2bb847b7c129ddb14cc2b561a60e3fd6d92dcaa0	special-authority-slashes-state	url-parsing	op.parser-special-authority-slashes	
839	list	97408	97843	31eff51a52bf1766ed0addd5c4058543b48fb51696a290d229600948367e278c	ol	url-parsing	op.parser-special-authority-slashes	
840	prose	97422	97625	ff63224d599392dc9c7e4625058556524cc7e80bfd6e1bee7de962a2200a5983	If c is U+002F (/) and remaining starts with U+002F (/), then set state to special authority ignore slashes state and increase pointer by 1.	url-parsing	op.parser-special-authority-slashes	
841	prose	97629	97838	128b42631834a1eae4a681b6279ec04d945260aae8b38039baa3b8bb43c02a33	Otherwise, special-scheme-missing-following-solidus validation error, set state to special authority ignore slashes state and decrease pointer by 1.	url-parsing	op.parser-special-authority-slashes	
842	definition	97852	97973	bb57f4a2c4c5470eeb817ef8514cf68755f2e675c2b4fd86eb9ec27188e81e04	special-authority-ignore-slashes-state	url-parsing	op.parser-special-authority-ignore-slashes	
843	list	97986	98254	9dec8a8800d57d6998f7f18fc2a809d0b99ee30b6cdf91a072281a5c41034349	ol	url-parsing	op.parser-special-authority-ignore-slashes	
844	prose	98000	98154	e999fea7a28c4354b124b1edbc9129d84734ccfda4fc047a6a5fe3eb1d9d57ca	If c is neither U+002F (/) nor U+005C (\\), then set state to authority state and decrease pointer by 1.	url-parsing	op.parser-special-authority-ignore-slashes	
845	prose	98158	98249	2c43ed78bc29bdce2613d9ec06c09f14b34df879de0683a00ca0b4229124aa16	Otherwise, special-scheme-missing-following-solidus validation error.	url-parsing	op.parser-special-authority-ignore-slashes	
846	definition	98263	98338	60d193c6017bbfdfdd0e54552d269e9c7de8a64c400643ab85f0f34caa3e33ee	authority-state	url-parsing	op.parser-authority	
847	list	98351	100431	e993005b086aa4dfab72548de6bcee77a3cbe829fa3602f747002b3b460408b2	ol	url-parsing	op.parser-authority	
848	prose	98372	98415	4328d4c956d60cd0cc34eabf58e0e87b02b314480775d8f41cc42852e4438c31	If c is U+0040 (@), then:	url-parsing	op.parser-authority	
849	list	98415	99482	de6e5206d8b99a4b768e6d2dcc285ffa9c0cb562ade6007b64fce0d6834980a4	ol	url-parsing	op.parser-authority	
850	prose	98431	98494	f56964aaa4d55710401c0194ca517abdbffdc83dc6a3d0aedf0bee64989be2af	Invalid-credentials validation error.	url-parsing	op.parser-authority	
851	prose	98498	98604	4f300934df470e9dedae1cef35cdbcc02c2308c8fce8f077acc0888b0be5871a	If atSignSeen is true, then prepend "%40" to buffer.	url-parsing	op.parser-authority	
852	prose	98608	98654	96b5fdcac0b374c7d212536654ded30869072ed4b593b9702a7abacd79e39810	Set atSignSeen to true.	url-parsing	op.parser-authority	
853	prose	98667	98731	8115f5b0a02b70d82d4f772a16b3a877c87cfead40c3256de8152e71fcbb87b2	For each codePoint in buffer:	url-parsing	op.parser-authority	
854	list	98731	99412	17b2a4182f9cfaf51eae6c3012cbbeff4ed946e074695415e8681a8fecf4e15b	ol	url-parsing	op.parser-authority	
855	prose	98749	98933	16cdb86923a34e77d8252c847dcfc9128c3c38877d823c1eda9edd7d6279fcec	If codePoint is U+003A (:) and passwordTokenSeen is false, then set passwordTokenSeen to true and continue.	url-parsing	op.parser-authority	
856	prose	98937	99138	069cd39e61f5953c3358708a57930067409c561d9aa48f08f610590aa286e637	Let encodedCodePoints be the result of running UTF-8 percent-encode codePoint using the userinfo percent-encode set.	url-parsing	op.parser-authority	
857	prose	99142	99291	8ae5fe564ebd93eefe8c18de3673ab7288629ec72545d01e9692f2bf010dd9bc	If passwordTokenSeen is true, then append encodedCodePoints to url's password.	url-parsing	op.parser-authority	
858	prose	99295	99407	5e79ca3653adff48db9737654ca99d74357e4a55168a44af0a2cc43dccd56d98	Otherwise, append encodedCodePoints to url's username.	url-parsing	op.parser-authority	
859	prose	99425	99477	0187ac475b765f75977ffa23cffc91a2a0f13bf60a7da530c78f880dbe067bd1	Set buffer to the empty string.	url-parsing	op.parser-authority	
860	prose	99500	99554	1afa4483cbf39fe674f98e8ac2f62d601f3619963ac64d6cd0d993f44e174228	Otherwise, if one of the following is true:	url-parsing	op.parser-authority	
861	list	99554	99747	0dde22828acb762e0718920eadf8051036cfc293566806c87b2209a78eeeb907	ul	url-parsing	op.parser-authority	
862	prose	99582	99669	99e4b04e6d43cca0a2783b51b8d267a211460de0a820eed5c020c6df8904e257	c is the EOF code point, U+002F (/), U+003F (?), or U+0023 (#)	url-parsing	op.parser-authority	
863	prose	99673	99742	164473e2afae65cf287ef7e1c075a92c5c41e73d9ea6cc3580d35b47c4ed2fef	url is special and c is U+005C (\\)	url-parsing	op.parser-authority	
864	prose	99755	99771	a66454a8d9985d09e42d2eabfd86a6d372c981c736888f2c3dcd69debadea6c3	then:	url-parsing	op.parser-authority	
865	list	99771	100359	f8f5b37f0ba9197bba25a03e835caabf1534b6dae608d892ce45e49681884527	ol	url-parsing	op.parser-authority	
866	prose	99787	100145	f1f534be2c6f452bcb3e1b434b85ab08f52eda1db0b959534e67681f6680879a	If atSignSeen is true and buffer is the empty string, host-missing validation error, return failure.	url-parsing	op.parser-authority	
867	prose	100149	100354	c0cd46ead7d250c3765765e880f167604909091ae33b04763002f00c1be5122b	Decrease pointer by buffer's code point length + 1, set buffer to the empty string, and set state to host state.	url-parsing	op.parser-authority	
868	prose	100370	100426	f37a5d41f868c8aa6b5a09fc11e913d0ec3a2957feb20d7a81e46cf4d20e08c5	Otherwise, append c to buffer.	url-parsing	op.parser-authority	
869	definition	100440	100505	ab24b03214fb09cc0a3b82420352d0fc0d3cbf75facd88baba177cc61c7fa9cb	host-state	url-parsing	op.parser-host-and-hostname	
870	definition	100513	100586	83311e6bfb0aae3f8eb2a379d6d0d95968956f6d227f17875a216dd3e18198db	hostname-state	url-parsing	op.parser-host-and-hostname	
871	list	100599	103269	0c07ee52de242090fb6a0c270ce6d4262b25622ea064aa51d9356d2b9051561a	ol	url-parsing	op.parser-host-and-hostname	
872	prose	100613	100827	e9a39df6524e5c93d9852ab8d1912ccd5eb1ab43b0471b240e8bb66fe4a5e536	If state override is given and url's scheme is "file", then decrease pointer by 1 and set state to file host state.	url-parsing	op.parser-host-and-hostname	
873	prose	100838	100925	16dd7e0d6df59824fed2664fba58bd68f5d315a0bbf858cf2acf78bfb112d944	Otherwise, if c is U+003A (:) and insideBrackets is false:	url-parsing	op.parser-host-and-hostname	
874	list	100925	101671	cda52698b958fe340362a927520ca316d04b8f7e7421a60388bc85482ed10290	ol	url-parsing	op.parser-host-and-hostname	
875	prose	100941	101115	e1abc3d37005ee413cd11b80f93689c48c900159ece46a4fa28ae93f5bf3cc60	If buffer is the empty string, host-missing validation error, return failure.	url-parsing	op.parser-host-and-hostname	
876	prose	101119	101289	50d276a2740c99daf9c86c783504b9698671cf436d54e455bce2d5e31f45348d	If state override is given and state override is hostname state, then return failure.	url-parsing	op.parser-host-and-hostname	
877	prose	101293	101429	ea31a7b12e1ab82f3e80a6942aeeee434c32614c88fb654ba1cab3306603fc62	Let host be the result of host parsing buffer with url is not special.	url-parsing	op.parser-host-and-hostname	
878	prose	101433	101496	4be827e7862fc25f648228830a08a2e3daf204cf48493bf39e25608955a38dae	If host is failure, then return failure.	url-parsing	op.parser-host-and-hostname	
879	prose	101500	101666	46a35ace8b4521c31c3dff67519e79bd2c0b3edbac7e9b0fb910a5554d5f8ab5	Set url's host to host, buffer to the empty string, and state to port state.	url-parsing	op.parser-host-and-hostname	
880	prose	101689	101743	1afa4483cbf39fe674f98e8ac2f62d601f3619963ac64d6cd0d993f44e174228	Otherwise, if one of the following is true:	url-parsing	op.parser-host-and-hostname	
881	list	101743	101936	0dde22828acb762e0718920eadf8051036cfc293566806c87b2209a78eeeb907	ul	url-parsing	op.parser-host-and-hostname	
882	prose	101771	101858	99e4b04e6d43cca0a2783b51b8d267a211460de0a820eed5c020c6df8904e257	c is the EOF code point, U+002F (/), U+003F (?), or U+0023 (#)	url-parsing	op.parser-host-and-hostname	
883	prose	101862	101931	164473e2afae65cf287ef7e1c075a92c5c41e73d9ea6cc3580d35b47c4ed2fef	url is special and c is U+005C (\\)	url-parsing	op.parser-host-and-hostname	
884	prose	101944	101998	3bddcecbe2bad0d7de6fdfc9434cf7303d585d62e458f49799d101d7b916010d	then decrease pointer by 1, and:	url-parsing	op.parser-host-and-hostname	
885	list	101998	102979	5a07b42504914f1abdde815de99552b4f6525bf7a89d398d2a78c4c1423ecec9	ol	url-parsing	op.parser-host-and-hostname	
886	prose	102014	102241	4a6020d58eaa50871793ee74f3ae5009a8dbc71e418af3aa431f72559866db1f	If url is special and buffer is the empty string, host-missing validation error, return failure.	url-parsing	op.parser-host-and-hostname	
887	prose	102245	102524	c7aedec0e08b1d4eb9bf67d203707922e7bb79edd1f14abf3d04bc01d2c16ebf	Otherwise, if state override is given, buffer is the empty string, and either url includes credentials or url's port is non-null, then return failure.	url-parsing	op.parser-host-and-hostname	
888	prose	102528	102664	ea31a7b12e1ab82f3e80a6942aeeee434c32614c88fb654ba1cab3306603fc62	Let host be the result of host parsing buffer with url is not special.	url-parsing	op.parser-host-and-hostname	
889	prose	102668	102731	4be827e7862fc25f648228830a08a2e3daf204cf48493bf39e25608955a38dae	If host is failure, then return failure.	url-parsing	op.parser-host-and-hostname	
890	prose	102735	102909	5e89aea294d6b23e34ebdf19ddeabba650c64bb9d3e7899b255a6d91ab508ca8	Set url's host to host, buffer to the empty string, and state to path start state.	url-parsing	op.parser-host-and-hostname	
891	prose	102913	102974	11efda796dbbfb401dcbf4dc3391ee6c3c16e8929743e46709cdd3a24cb4c0b1	If state override is given, then return.	url-parsing	op.parser-host-and-hostname	
892	prose	102997	103018	5cbc6ae1bf6fbe7d9ab7e4e9243d915299fc6a144f65aa6b8579a6afe3a19353	Otherwise:	url-parsing	op.parser-host-and-hostname	
893	list	103018	103259	abeecb4a949c7204c5a7bbe721a1d6312959ee64618ef831bea5d7d462a0db57	ol	url-parsing	op.parser-host-and-hostname	
894	prose	103034	103116	27f16f78eefba41b6cf7ccbc1f68c068e40b1dc1379b30999768128b140b2168	If c is U+005B ([), then set insideBrackets to true.	url-parsing	op.parser-host-and-hostname	
895	prose	103120	103203	050b737fd0e784689f2c74b527b22487e82df1cbe358b2874ffe3b0c2a19ffcd	If c is U+005D (]), then set insideBrackets to false.	url-parsing	op.parser-host-and-hostname	
896	prose	103207	103254	84546ad91cc817b4a6afdfacc119653c94aef76088be3b6b9fc4ea2a0922d294	Append c to buffer.	url-parsing	op.parser-host-and-hostname	
897	definition	103278	103343	3e5db6ef267cdd564d8f677f804ce08b5bbd931bb41914f3f02efe9b22639f09	port-state	url-parsing	op.parser-port	
898	list	103356	105064	72eef1c0ba0c2317c48a742b67372d6953f3b045a848e5041921674b02648054	ol	url-parsing	op.parser-port	
